REGIJA,STEV_UCENCEV,VZROK,TRAJANJE
Koroška,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Savinjska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,8 days
Jugovzhodna Slovenija,zelo malo,Okužba s Covid-19 pri vzgojitelju,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Jugovzhodna Slovenija,zelo malo,Okužba s Covid-19 pri vzgojitelju,10 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,8 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Jugovzhodna Slovenija,malo,Okužba s Covid-19 pri vzgojitelju,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Obalno-kraška,veliko,Okužba s Covid-19 pri učitelju,9 days
Primorsko-notranjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Jugovzhodna Slovenija,zelo malo,Okužba s Covid-19 pri vzgojitelju,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Savinjska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,8 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Goriška,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Obalno-kraška,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Obalno-kraška,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,8 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,8 days
Obalno-kraška,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Zasavska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Pomurska,malo,Okužba s Covid-19 pri učitelju,9 days
Posavska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Savinjska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Jugovzhodna Slovenija,malo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Gorenjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učitelju,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Pomurska,srednje,Okužba s Covid-19 pri vzgojitelju,9 days
Savinjska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri vzgojitelju,9 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Savinjska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Savinjska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Obalno-kraška,srednje,Okužba s Covid-19 pri vzgojitelju,9 days
Savinjska,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Podravska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri vzgojitelju,9 days
Savinjska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Savinjska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka,7 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Zasavska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Gorenjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Primorsko-notranjska,malo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,10 days
Pomurska,zelo malo,Okužba s Covid-19 pri učitelju,9 days
Gorenjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri vzgojitelju,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Podravska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Gorenjska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Obalno-kraška,malo,Sum na okužbo s Covid-19 pri drugem strokovnem delavcu,9 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri učitelju,9 days
Savinjska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,8 days
Primorsko-notranjska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,10 days
Primorsko-notranjska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,10 days
Gorenjska,srednje,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Gorenjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učitelju,9 days
Goriška,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Savinjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri vzgojitelju,9 days
Jugovzhodna Slovenija,malo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,6 days
Savinjska,malo,Okužba s Covid-19 pri učitelju,8 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,10 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,8 days
Obalno-kraška,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Pomurska,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,9 days
Pomurska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Posavska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Podravska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Savinjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Jugovzhodna Slovenija,srednje,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Savinjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Zasavska,srednje,Okužba s Covid-19 pri učitelju,9 days
Savinjska,srednje,Okužba s Covid-19 pri učitelju,8 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Pomurska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Zasavska,srednje,Okužba s Covid-19 pri učitelju,9 days
Goriška,malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Goriška,srednje,Okužba s Covid-19 pri otroku ali več otrocih skupine,9 days
Goriška,veliko,Okužba s Covid-19 pri otroku ali več otrocih skupine,9 days
Pomurska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Pomurska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,10 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Jugovzhodna Slovenija,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Goriška,malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,9 days
Goriška,srednje,Okužba s Covid-19 pri otroku ali več otrocih skupine,9 days
Gorenjska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,8 days
Gorenjska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Gorenjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Pomurska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Jugovzhodna Slovenija,zelo veliko,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Podravska,zelo malo,Okužba s Covid-19 pri učitelju,6 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Podravska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Savinjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Gorenjska,zelo malo,Okužba s Covid-19 pri učitelju,6 days
Gorenjska,malo,Okužba s Covid-19 pri učitelju,6 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Primorsko-notranjska,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Koroška,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Primorsko-notranjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Savinjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Posavska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Koroška,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Savinjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Zasavska,malo,Okužba s Covid-19 pri učitelju,9 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,4 days
Zasavska,malo,Okužba s Covid-19 pri učitelju,9 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Jugovzhodna Slovenija,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,8 days
Savinjska,srednje,Sum na okužbo s Covid-19 pri učitelju,10 days
Jugovzhodna Slovenija,srednje,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,7 days
Primorsko-notranjska,malo,Okužba s Covid-19 pri učitelju,9 days
Savinjska,srednje,Okužba s Covid-19 pri učitelju,10 days
Pomurska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Savinjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Primorsko-notranjska,zelo malo,Okužba s Covid-19 pri učitelju,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri otroku ali več otrocih skupine,9 days
Podravska,zelo malo,Okužba s Covid-19 pri učitelju,7 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,8 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Primorsko-notranjska,malo,Okužba s Covid-19 pri učitelju,9 days
Zasavska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Koroška,srednje,Okužba s Covid-19 pri učitelju,8 days
Savinjska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,6 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Pomurska,srednje,Okužba s Covid-19 pri otroku ali več otrocih skupine,7 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri otroku ali več otrocih skupine,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,8 days
Savinjska,zelo malo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Savinjska,malo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Podravska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,7 days
Jugovzhodna Slovenija,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Koroška,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,11 days
Podravska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Pomurska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Podravska,malo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,10 days
Podravska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Savinjska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,8 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Zasavska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Obalno-kraška,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,9 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Koroška,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,9 days
Savinjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Savinjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Koroška,zelo malo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Gorenjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Savinjska,malo,Okužba s Covid-19 pri drugem strokovnem delavcu,10 days
Savinjska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,8 days
Savinjska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Savinjska,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Savinjska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri učitelju,7 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Savinjska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Primorsko-notranjska,srednje,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Savinjska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri vzgojitelju,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri drugem strokovnem delavcu,9 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri učitelju,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Posavska,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,7 days
Gorenjska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,6 days
